Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,SRC_method
12/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium diabolum,7,67,1666.666667
12/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Scrippsiella trochoidea,4,38,952.3809524
12/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Zygabikodinium lenticulatum,10,95,2380.952381
12/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protocentrum sigmoides,4,38,952.3809524
12/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium oceanicum,4,38,952.3809524
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Pseudo-nitzschia australis,7,67,1666.666667
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,17,162,4047.619048
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium tripos,7,67,1666.666667
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,304,2895,72380.95238
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax spinifera,12,114,2857.142857
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Karenia cristata,12,114,2857.142857
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,14,133,3333.333333
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Scrippsiella trochoidea,14,133,3333.333333
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Zygabikodinium lenticulatum,13,124,3095.238095
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protocentrum sigmoides,4,38,952.3809524
13/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium oceanicum,7,67,1666.666667
16/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Chaetoceros sp.,4,38,952.3809524
16/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,166,1581,39523.80952
16/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,1319,12562,314047.619
16/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax spinifera,21,200,5000
16/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,394,3752,93809.52381
16/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Scrippsiella trochoidea,19,181,4523.809524
16/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Zygabikodinium lenticulatum,21,200,5000
16/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium oceanicum,18,171,4285.714286
16/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Lingulodinium polyedrum,226,2152,53809.52381
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Chaetoceros sp.,1,8,208.3333333
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,110,917,22916.66667
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium tripos,1,8,208.3333333
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,496,4133,103333.3333
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax spinifera,17,142,3541.666667
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Karenia cristata,4,33,833.3333333
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,96,800,20000
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,9,75,1875
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Scrippsiella trochoidea,7,58,1458.333333
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Prorocentrum micans,2,17,416.6666667
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Pyrophacus sp.,4,33,833.3333333
17/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Lingulodinium polyedrum,180,1500,37500
18/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Chaetoceros sp.,1,10,238.0952381
18/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,24,229,5714.285714
18/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium tripos,4,38,952.3809524
18/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,159,1514,37857.14286
18/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax Spinifera,12,114,2857.142857
18/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,29,276,6904.761905
18/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium diabolum,4,38,952.3809524
18/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Zygabikodinium lenticulatum,7,67,1666.666667
18/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Lingulodinium polyedrum,29,276,6904.761905
19/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Pseudo-nitzschia australis,7,58,1458.333333
19/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,59,492,12291.66667
19/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,1253,10442,261041.6667
19/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Karenia cristata,12,100,2500
19/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,15,125,3125
19/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,4,33,833.3333333
19/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Scrippsiella trochoidea,14,117,2916.666667
19/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium oceanicum,11,92,2291.666667
19/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Lingulodinium polyedrum,65,542,13541.66667
20/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,42,350,8750
20/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium tripos,2,17,416.6666667
20/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,1979,16492,412291.6667
20/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Noctiluca scintillans,5,42,1041.666667
20/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,1160,9667,241666.6667
20/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,1,8,208.3333333
20/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Zygabikodinium lenticulatum,1,8,208.3333333
20/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Lingulodinium polyedrum,4,33,833.3333333
30/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Pseudo-nitzschia australis,1,10,250
30/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Ceratium furca,20,200,5000
30/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Gonyaulax polygramma,20,200,5000
30/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium conicum,61,610,15250
30/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium diabolum,2,20,500
30/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Prorocentrum micans,1,10,250
31/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Pseudo-nitzschia australis,2,19,476.1904762
31/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,14,133,3333.333333
31/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium tripos,3,29,714.2857143
31/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,11,105,2619.047619
31/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,79,752,18809.52381
31/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium diabolum,4,38,952.3809524
31/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Pyrophacus sp.,2,19,476.1904762
31/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium oceanicum,2,19,476.1904762
31/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium dens,9,86,2142.857143
01/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,17,162,4047.619048
01/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,29,276,6904.761905
01/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,135,1286,32142.85714
01/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium dens,10,95,2380.952381
02/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,22,183,4583.333333
02/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,26,217,5416.666667
02/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,119,992,24791.66667
02/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium dens,13,108,2708.333333
03/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Pseudo-nitzschia australis,3,29,714.2857143
03/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,2,19,476.1904762
03/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,4,38,952.3809524
03/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,8,76,1904.761905
03/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium dens,2,19,476.1904762
06/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Ceratium furca,27,270,6750
06/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Gonyaulax polygramma,72,720,18000
06/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium conicum,58,580,14500
06/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Pyrophacus sp.,1,10,250
06/02/2017,08:00,Lorna,Primary sump,5000,20,0.02,Ceratium dens,2,20,500
07/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,2,19,476.1904762
07/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,3,29,714.2857143
07/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,7,67,1666.666667
07/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Pyrophacus sp.,2,19,476.1904762
07/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium dens,2,19,476.1904762
08/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,14,117,2916.666667
08/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,2,17,416.6666667
08/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,14,117,2916.666667
08/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium dens,1,8,208.3333333
09/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,45,429,10714.28571
09/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,32,305,7619.047619
09/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,57,543,13571.42857
09/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium dens,2,19,476.1904762
10/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,7,67,1666.666667
10/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,8,76,1904.761905
10/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,12,114,2857.142857
13/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Pseudo-nitzschia australis,2,17,416.6666667
13/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,63,525,13125
13/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,16,133,3333.333333
13/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,89,742,18541.66667
13/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,4,33,833.3333333
13/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protocentrum micans,4,33,833.3333333
13/02/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium oceanicum,12,100,2500
14/02/2017,08:00,Lorna,Primary sump,5000,22,0.022,Ceratium furca,12,109,2727.272727
14/02/2017,08:00,Lorna,Primary sump,5000,22,0.022,Gonyaulax polygramma,59,536,13409.09091
14/02/2017,08:00,Lorna,Primary sump,5000,22,0.022,Protoperidinium conicum,14.6,133,3318.181818
14/02/2017,08:00,Lorna,Primary sump,5000,22,0.022,Protoperidinium diabolum,2,18,454.5454545
14/02/2017,08:00,Lorna,Primary sump,5000,22,0.022,Protoperidinium oceanicum,12,109,2727.272727
15/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,2,19,476.1904762
15/02/2017,08:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,5,48,1190.47619
