Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,,Yellow_block,RG_meth,SRC_method
26/01/2018,08:00:00,Nuette,Primary Sump,5000,50,0.05,Pseudo-nitzschia australis australis,14,56,280,1400,70,5600
26/01/2018,08:00:00,Nuette,Primary Sump,5000,50,0.05,Protoperidiium conicum,11,44,220,1100,55,4400
26/01/2018,08:00:00,Nuette,Primary Sump,5000,50,0.05,Ceratium fusus,10,40,200,1000,50,4000
26/01/2018,08:00:00,Nuette,Primary Sump,5000,50,0.05,Rhizosolenia,7,28,140,700,35,2800
28/02/2018,08:00:00,Lorna,Primary sump,5000,50,0.05,Ceratium fusus,7,28,140,700,35,2800
05/02/2018,14:00:00,Nuette,Primary Sump,5000,50,0.05,Ceratium furca,7,28,140,700,35,2800
25/01/2018,08:00:00,Lorna,Primary Sump,5000,50,0.05,Ceratium fusus,4,16,80,400,20,1600
05/02/2018,14:00:00,Nuette,Primary Sump,5000,50,0.05,Ceratium fusus,4,16,80,400,20,1600
05/02/2018,14:00:00,Nuette,Primary Sump,5000,50,0.05,Ceratium tripos,4,16,80,400,20,1600
05/02/2018,14:00:00,Nuette,Primary Sump,5000,50,0.05,Protoperidiium conicum,3,12,60,300,15,1200
09/02/2018,08:00:00,Lorna,Primary Sump,5000,50,0.05,Ceratium furca,2,8,40,200,10,800
25/01/2018,08:00:00,Lorna,Primary Sump,5000,50,0.05,Ceratium furca,2,8,40,200,10,800
26/01/2018,08:00:00,Nuette,Primary Sump,5000,50,0.05,Ceratium furca,2,8,40,200,10,800
05/02/2018,14:00:00,Nuette,Primary Sump,5000,50,0.05,Gonyaulax polygramma,2,8,40,200,10,800
25/01/2018,08:00:00,Lorna,Primary Sump,5000,50,0.05,Ceratium tripos,1,4,20,100,5,400
25/01/2018,08:00:00,Lorna,Primary Sump,5000,50,0.05,Chaetoceros sp.,1,4,20,100,5,400
25/01/2018,08:00:00,Lorna,Primary Sump,5000,50,0.05,Protoperidinium conicum,1,4,20,100,5,400
26/01/2018,08:00:00,Nuette,Primary Sump,5000,50,0.05,Gonyaulax polygramma,1,4,20,100,5,400
28/02/2018,08:00:00,Lorna,Primary sump,5000,50,0.05,Gonyaulax polygramma ,1,4,20,100,5,400
