Date,Time,Counted by,Site,Volume.Filtered.(ml),Frames.counted,CellsCounted,Cells/L,SRC_method
12/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
12/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
17/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
17/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
17/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
17/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
17/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
17/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
23/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
23/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
23/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
23/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
25/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
25/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
25/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
25/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
25/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
25/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
25/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
27/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
27/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
27/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
27/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
27/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
27/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
14/08/2019,08:00,Lorna,Primary sump,5000,30,1,33.33333333,166.6666667
14/08/2019,08:00,Lorna,Primary sump,5000,30,1,33.33333333,166.6666667
14/08/2019,08:00,Lorna,Primary sump,5000,30,1,33.33333333,166.6666667
02/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
02/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
02/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
05/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
05/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
06/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
06/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
06/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
09/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
09/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
09/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
13/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
13/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
13/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
16/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
18/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
18/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
19/09/2019,14:30,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
19/09/2019,14:30,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
19/09/2019,14:30,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
19/09/2019,14:30,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
19/09/2019,14:30,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
19/09/2019,14:30,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
19/09/2019,14:30,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
20/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
20/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
20/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
20/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
20/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
26/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
26/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
26/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
30/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
30/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
30/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
30/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
30/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
30/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
01/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
01/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
01/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
01/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
01/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
01/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
01/09/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
02/10/2019,16:00,Lorna,Primary sump,5000,150,1,33.33333333,33.33333333
02/10/2019,16:00,Lorna,Primary sump,5000,150,1,33.33333333,33.33333333
02/10/2019,16:00,Lorna,Primary sump,5000,150,1,33.33333333,33.33333333
02/10/2019,16:00,Lorna,Primary sump,5000,150,1,33.33333333,33.33333333
02/10/2019,16:00,Lorna,Primary sump,5000,150,1,33.33333333,33.33333333
02/10/2019,16:00,Lorna,Primary sump,5000,150,1,33.33333333,33.33333333
02/10/2019,16:00,Lorna,Primary sump,5000,150,1,33.33333333,33.33333333
02/10/2019,16:00,Lorna,Primary sump,5000,150,1,33.33333333,33.33333333
04/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
04/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
04/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
04/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
04/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
04/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
04/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
04/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
08/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
08/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
08/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
08/10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
14//10/2019,08:00,Kabelo,Primary sump,5000,150,1,33.33333333,33.33333333
05/06/2019,11:00,Pertunia,Primary sump,5000,125,1,40,40
05/06/2019,11:00,Pertunia,Primary sump,5000,125,1,40,40
05/06/2019,11:00,Pertunia,Primary sump,5000,125,1,40,40
06/06/2019,12:00,Pertunia,Primary sump,5000,125,1,40,40
06/06/2019,12:00,Pertunia,Primary sump,5000,125,1,40,40
06/06/2019,12:00,Pertunia,Primary sump,5000,125,1,40,40
06/06/2019,12:00,Pertunia,Primary sump,5000,125,1,40,40
28/08/2019,08:00,Lorna,Primary sump,5000,24,1,41.66666667,208.3333333
28/08/2019,08:00,Lorna,Primary sump,5000,24,1,41.66666667,208.3333333
28/08/2019,08:00,Lorna,Primary sump,5000,24,1,41.66666667,208.3333333
29/08/2019,08:00,Lorna,Primary sump,5000,24,1,41.66666667,208.3333333
29/08/2019,08:00,Lorna,Primary sump,5000,24,1,41.66666667,208.3333333
29/08/2019,08:00,Lorna,Primary sump,5000,24,1,41.66666667,208.3333333
29/08/2019,08:00,Lorna,Primary sump,5000,24,1,41.66666667,208.3333333
03/10/2019,14:20,Lorna,Primary sump,5000,110,1,45.45454545,45.45454545
03/10/2019,16:00,Lorna,Primary sump,5000,110,1,45.45454545,45.45454545
03/10/2019,16:00,Lorna,Primary sump,5000,110,1,45.45454545,45.45454545
03/10/2019,16:00,Lorna,Primary sump,5000,110,1,45.45454545,45.45454545
26/10/2018,08:00,Nuette,Primary sump,5000,20,1,50,250
29/10/2018,08:00,Nuette,Primary sump,5000,20,1,50,250
29/10/2018,08:00,Nuette,Primary sump,5000,20,1,50,250
01/11/2018,08:00,Nuette,Primary sump,5000,20,1,50,250
01/11/2018,08:00,Nuette,Primary sump,5000,20,1,50,250
05/11/2018,08:00,Pertunia,Primary sump,5000,20,1,50,250
07/11/2018,08:00,Pertunia,Primary sump,5000,20,1,50,250
12/11/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
13/11/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
14/11/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
14/11/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
16/11/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
20/11/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
26/11/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
03/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
03/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
04/12/2018,08:00,Lorna,Primary sump,5000,20,1,50,250
