"","Sample","Date","Time","Counted.by","Site","DO..mg.L.","Saturation....","Temperature...C.","N","NH3.N","NH4.N","pH","NO2","PO4","X","Species","Classification","Threat","Cells.Counted","Frames.counted","Total.Count"
"690",196,"18/02/2019","04:00:00","Pertunia","Primary sump","9.5",89.5,13,0.42,0.51,0.54,7.7,NA,NA,NA,"Licmophora","Diatom",""," 1 ",20,50
"691",196,"18/02/2019","04:00:00","Pertunia","Primary sump","9.5",89.5,13,0.42,0.51,0.54,7.7,NA,NA,NA,"Ditylum brightwellii","Diatom",""," 5 ",20,250
"692",196,"18/02/2019","04:00:00","Pertunia","Primary sump","9.5",89.5,13,0.42,0.51,0.54,7.7,NA,NA,NA,"Triceratium","Diatom",""," 2 ",20,100
"693",196,"18/02/2019","04:00:00","Pertunia","Primary sump","9.5",89.5,13,0.42,0.51,0.54,7.7,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 10 ",20,500
"694",196,"18/02/2019","04:00:00","Pertunia","Primary sump","9.5",89.5,13,0.42,0.51,0.54,7.7,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 183 ",20,9150
"695",196,"18/02/2019","04:00:00","Pertunia","Primary sump","9.5",89.5,13,0.42,0.51,0.54,7.7,NA,NA,NA,"Prorocentrum micans","Dinoflagellate",""," 1 ",20,50
"696",196,"18/02/2019","04:00:00","Pertunia","Primary sump","9.5",89.5,13,0.42,0.51,0.54,7.7,NA,NA,NA,"Melosira","Diatom",""," 40 ",20,2000
"697",196,"18/02/2019","04:00:00","Pertunia","Primary sump","9.5",89.5,13,0.42,0.51,0.54,7.7,NA,NA,NA,"Noctiluca","Dinoflagellate",""," 2 ",20,100
"698",197,"18/02/2019","04:00:00","Pertunia","After Drumfilter","8.51",82.2,13.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 3 ",20,150
"699",197,"18/02/2019","04:00:00","Pertunia","After Drumfilter","8.51",82.2,13.8,NA,NA,NA,NA,NA,NA,NA,"Melosira","Diatom",""," 12 ",20,600
"700",197,"18/02/2019","04:00:00","Pertunia","After Drumfilter","8.51",82.2,13.8,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 1 ",20,50
"701",197,"18/02/2019","04:00:00","Pertunia","After Drumfilter","8.51",82.2,13.8,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 85 ",20,4250
"702",197,"18/02/2019","04:00:00","Pertunia","After Drumfilter","8.51",82.2,13.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate",""," 3 ",20,150
"703",197,"18/02/2019","04:00:00","Pertunia","After Drumfilter","8.51",82.2,13.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 1 ",20,50
"704",197,"18/02/2019","04:00:00","Pertunia","After Drumfilter","8.51",82.2,13.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 1 ",20,50
"705",197,"18/02/2019","04:00:00","Pertunia","After Drumfilter","8.51",82.2,13.8,NA,NA,NA,NA,NA,NA,NA,"Coscinodiscus granii","Diatom",""," 7 ",20,350
"706",197,"18/02/2019","04:00:00","Pertunia","After Drumfilter","8.51",82.2,13.8,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 11 ",20,550
"707",200,"18/02/2019","07:45:00","Sarah","Primary sump","9.54",90.2,12.1,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 488 ",20,24400
"708",201,"18/02/2019","07:45:00","Sarah","After Drumfilter","8.97",86.5,13.6,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 228 ",20,11400
"709",202,"18/02/2019","09:50:00","Sarah","Primary sump","9.31",NA,13.1,0,0,0,7.73,NA,NA,NA,"Chaetoceros","Diatom",""," 7 ",20,350
"710",202,"18/02/2019","09:50:00","Sarah","Primary sump","9.31",NA,13.1,0,0,0,7.73,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 496 ",20,24800
"711",202,"18/02/2019","09:50:00","Sarah","Primary sump","9.31",NA,13.1,0,0,0,7.73,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 361 ",20,18050
"712",202,"18/02/2019","09:50:00","Sarah","Primary sump","9.31",NA,13.1,0,0,0,7.73,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 3 ",20,150
"713",202,"18/02/2019","09:50:00","Sarah","Primary sump","9.31",NA,13.1,0,0,0,7.73,NA,NA,NA,"Licmophora","Diatom",""," 21 ",20,1050
"714",202,"18/02/2019","09:50:00","Sarah","Primary sump","9.31",NA,13.1,0,0,0,7.73,NA,NA,NA,"Rhizosolenia","Diatom",""," 6 ",20,300
"715",202,"18/02/2019","09:50:00","Sarah","Primary sump","9.31",NA,13.1,0,0,0,7.73,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 3 ",20,150
"716",202,"18/02/2019","09:50:00","Sarah","Primary sump","9.31",NA,13.1,0,0,0,7.73,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 9 ",20,450
"717",203,"18/02/2019","09:50:00","Sarah","After Drumfilter","9.21",87.6,13.1,0.01,0.01,0.01,7.64,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 35 ",20,1750
"718",203,"18/02/2019","09:50:00","Sarah","After Drumfilter","9.21",87.6,13.1,0.01,0.01,0.01,7.64,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 27 ",20,1350
"719",203,"18/02/2019","09:50:00","Sarah","After Drumfilter","9.21",87.6,13.1,0.01,0.01,0.01,7.64,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 4 ",20,200
"720",203,"18/02/2019","09:50:00","Sarah","After Drumfilter","9.21",87.6,13.1,0.01,0.01,0.01,7.64,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 1 ",20,50
"721",203,"18/02/2019","09:50:00","Sarah","After Drumfilter","9.21",87.6,13.1,0.01,0.01,0.01,7.64,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 2 ",20,100
"722",203,"18/02/2019","09:50:00","Sarah","After Drumfilter","9.21",87.6,13.1,0.01,0.01,0.01,7.64,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 7 ",20,350
"723",203,"18/02/2019","09:50:00","Sarah","After Drumfilter","9.21",87.6,13.1,0.01,0.01,0.01,7.64,NA,NA,NA,"Chaetoceros","Diatom",""," 2 ",20,100
"724",203,"18/02/2019","09:50:00","Sarah","After Drumfilter","9.21",87.6,13.1,0.01,0.01,0.01,7.64,NA,NA,NA,"Licmophora","Diatom",""," 1 ",20,50
"725",204,"18/02/2019","12:00:00","Sarah","Primary sump","9.53",94.7,12.4,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 709 ",20,35450
"726",205,"18/02/2019","12:00:00","Sarah","After Drumfilter","9.8",84.2,13.2,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 525 ",20,26250
"727",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 10 ",20,500
"728",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Ceratium dens","Dinoflagellate",""," 2 ",20,100
"729",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 7 ",20,350
"730",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Ditylum brightwellii","Diatom",""," 6 ",20,300
"731",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 4 ",20,200
"732",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 2 ",20,100
"733",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium depressum","Dinoflagellate",""," 5 ",20,250
"734",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate",""," 5 ",20,250
"735",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 809 ",20,40450
"736",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 474 ",20,23700
"737",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 4 ",20,200
"738",206,"18/02/2019","14:00:00","Sarah","Primary sump","9.68",93,13.7,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 6 ",20,300
"739",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium depressum","Dinoflagellate",""," 1 ",20,50
"740",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 12 ",20,600
"741",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium dens","Dinoflagellate",""," 2 ",20,100
"742",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Rhizosolenia","Diatom",""," 1 ",20,50
"743",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 7 ",20,350
"744",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 2 ",20,100
"745",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 407 ",20,20350
"746",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 2 ",20,100
"747",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 121 ",20,6050
"748",207,"18/02/2019","14:00:00","Sarah","After Drumfilter","9.98",96.6,13.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium tripos","Dinoflagellate",""," 1 ",20,50
"749",209,"18/02/2019","15:30:00","Sarah","After Drumfilter","9.44",88.4,14.4,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 4 ",20,200
"750",209,"18/02/2019","15:30:00","Sarah","After Drumfilter","9.44",88.4,14.4,NA,NA,NA,NA,NA,NA,NA,"Ceratium dens","Dinoflagellate",""," 1 ",20,50
"751",209,"18/02/2019","15:30:00","Sarah","After Drumfilter","9.44",88.4,14.4,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 65 ",20,3250
"752",209,"18/02/2019","15:30:00","Sarah","After Drumfilter","9.44",88.4,14.4,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 6 ",20,300
"753",209,"18/02/2019","15:30:00","Sarah","After Drumfilter","9.44",88.4,14.4,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 1 ",20,50
"754",209,"18/02/2019","15:30:00","Sarah","After Drumfilter","9.44",88.4,14.4,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 2 ",20,100
"755",209,"18/02/2019","15:30:00","Sarah","After Drumfilter","9.44",88.4,14.4,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 2 ",20,100
"756",211,"18/02/2019","16:15:00","Sarah","After Drumfilter","9.03",88.2,14.7,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 156 ",20,7800
"757",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Noctiluca","Dinoflagellate",""," 2 ",20,100
"758",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate",""," 7 ",20,350
"759",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Nitzschia","Diatom",""," 2 ",20,100
"760",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 9 ",20,450
"761",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 1 ",20,50
"762",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 5 ",20,250
"763",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 12 ",20,600
"764",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Ditylum brightwellii","Diatom",""," 2 ",20,100
"765",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Coscinodiscus granii","Diatom",""," 1 ",20,50
"766",212,"18/02/2019","17:50:00","Pertunia","Primary sump","9.68",95.2,14,NA,NA,NA,NA,NA,NA,NA,"Melosira","Diatom",""," 16 ",20,800
"767",213,"18/02/2019","18:00:00","Pertunia","After Drumfilter","9.2",89.8,14.8,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 1 ",20,50
"768",213,"18/02/2019","18:00:00","Pertunia","After Drumfilter","9.2",89.8,14.8,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 1 ",20,50
"769",213,"18/02/2019","18:00:00","Pertunia","After Drumfilter","9.2",89.8,14.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium tripos","Dinoflagellate",""," 1 ",20,50
"770",213,"18/02/2019","18:00:00","Pertunia","After Drumfilter","9.2",89.8,14.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate",""," 4 ",20,200
"771",213,"18/02/2019","18:00:00","Pertunia","After Drumfilter","9.2",89.8,14.8,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 16 ",20,800
"772",213,"18/02/2019","18:00:00","Pertunia","After Drumfilter","9.2",89.8,14.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 1 ",20,50
"773",213,"18/02/2019","18:00:00","Pertunia","After Drumfilter","9.2",89.8,14.8,NA,NA,NA,NA,NA,NA,NA,"Melosira","Diatom",""," 2 ",20,100
"774",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate",""," 8 ",20,400
"775",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 7 ",20,350
"776",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 146 ",20,7300
"777",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Coscinodiscus granii","Diatom",""," 3 ",20,150
"778",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Noctiluca","Dinoflagellate",""," 1 ",20,50
"779",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Licmophora","Diatom",""," 1 ",20,50
"780",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Asterionellopsis glacialis","Diatom",""," 1 ",20,50
"781",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 1 ",20,50
"782",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 10 ",20,500
"783",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Melosira","Diatom",""," 11 ",20,550
"784",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 3 ",20,150
"785",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 5 ",20,250
"786",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 2 ",20,100
"787",214,"18/02/2019","19:00:00","Pertunia","Primary sump","9.81",94.7,14,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium depressum","Dinoflagellate",""," 1 ",20,50
"788",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 5 ",20,250
"789",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 7 ",20,350
"790",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Rhizosolenia","Diatom",""," 2 ",20,100
"791",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 784 ",20,39200
"792",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 2 ",20,100
"793",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 16 ",20,800
"794",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 149 ",20,7450
"795",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 1 ",20,50
"796",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium depressum","Dinoflagellate",""," 2 ",20,100
"797",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Pyrophacus","Dinoflagellate",""," 2 ",20,100
"798",228,"19/02/2019","07:44:00","Lorna","Primary sump","8.7",81,12.4,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 13 ",20,650
"799",229,"19/02/2019","07:44:00","Lorna","After Drumfilter","8.3",96.4,11.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 1 ",20,50
"800",229,"19/02/2019","07:44:00","Lorna","After Drumfilter","8.3",96.4,11.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 5 ",20,250
"801",229,"19/02/2019","07:44:00","Lorna","After Drumfilter","8.3",96.4,11.8,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 17 ",20,850
"802",229,"19/02/2019","07:44:00","Lorna","After Drumfilter","8.3",96.4,11.8,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 241 ",20,12050
"803",229,"19/02/2019","07:44:00","Lorna","After Drumfilter","8.3",96.4,11.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 6 ",20,300
"804",230,"19/02/2019","09:45:00","Lorna","Primary sump","9.86",91.2,12.6,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 3 ",20,150
"805",230,"19/02/2019","09:45:00","Lorna","Primary sump","9.86",91.2,12.6,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 1 ",20,50
"806",230,"19/02/2019","09:45:00","Lorna","Primary sump","9.86",91.2,12.6,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 7 ",20,350
"807",230,"19/02/2019","09:45:00","Lorna","Primary sump","9.86",91.2,12.6,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 333 ",20,16650
"808",230,"19/02/2019","09:45:00","Lorna","Primary sump","9.86",91.2,12.6,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 50 ",20,2500
"809",230,"19/02/2019","09:45:00","Lorna","Primary sump","9.86",91.2,12.6,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 4 ",20,200
"810",231,"19/02/2019","09:50:00","Lorna","After Drumfilter","9.58",84.3,11.2,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 240 ",20,12000
"811",231,"19/02/2019","09:50:00","Lorna","After Drumfilter","9.58",84.3,11.2,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 1 ",20,50
"812",231,"19/02/2019","09:50:00","Lorna","After Drumfilter","9.58",84.3,11.2,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 11 ",20,550
"813",231,"19/02/2019","09:50:00","Lorna","After Drumfilter","9.58",84.3,11.2,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 1 ",20,50
"814",232,"19/02/2019","11:12:00","Lorna","Primary sump","9.18",86.3,12.6,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 1 ",20,50
"815",232,"19/02/2019","11:12:00","Lorna","Primary sump","9.18",86.3,12.6,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 9 ",20,450
"816",232,"19/02/2019","11:12:00","Lorna","Primary sump","9.18",86.3,12.6,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 2 ",20,100
"817",232,"19/02/2019","11:12:00","Lorna","Primary sump","9.18",86.3,12.6,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 46 ",20,2300
"818",232,"19/02/2019","11:12:00","Lorna","Primary sump","9.18",86.3,12.6,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 342 ",20,17100
"819",232,"19/02/2019","11:12:00","Lorna","Primary sump","9.18",86.3,12.6,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 3 ",20,150
"820",232,"19/02/2019","11:12:00","Lorna","Primary sump","9.18",86.3,12.6,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium oceanicum","Dinoflagellate",""," 1 ",20,50
"821",233,"19/02/2019","11:16:00","Lorna","After Drumfilter","8..69",77.9,112.6,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 3 ",20,150
"822",233,"19/02/2019","11:16:00","Lorna","After Drumfilter","8..69",77.9,112.6,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 17 ",20,850
"823",233,"19/02/2019","11:16:00","Lorna","After Drumfilter","8..69",77.9,112.6,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 100 ",20,5000
"824",234,"19/02/2019","12:03:00","Lorna","Primary sump","9.04",84.9,12.8,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 286 ",20,14300
"825",234,"19/02/2019","12:03:00","Lorna","Primary sump","9.04",84.9,12.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 4 ",20,200
"826",234,"19/02/2019","12:03:00","Lorna","Primary sump","9.04",84.9,12.8,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 4 ",20,200
"827",234,"19/02/2019","12:03:00","Lorna","Primary sump","9.04",84.9,12.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 11 ",20,550
"828",235,"19/02/2019","12:06:00","Lorna","After Drumfilter","9.74",90.1,11.8,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB"," 11 ",20,550
"829",235,"19/02/2019","12:06:00","Lorna","After Drumfilter","9.74",90.1,11.8,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 49 ",20,2450
"830",235,"19/02/2019","12:06:00","Lorna","After Drumfilter","9.74",90.1,11.8,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 2 ",20,100
"831",236,"19/02/2019","14:30:00","Lorna","Primary sump","9.77",84.3,13.7,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 6 ",20,300
"832",236,"19/02/2019","14:30:00","Lorna","Primary sump","9.77",84.3,13.7,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 7 ",20,350
"833",236,"19/02/2019","14:30:00","Lorna","Primary sump","9.77",84.3,13.7,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium oceanicum","Dinoflagellate",""," 10 ",20,500
"834",236,"19/02/2019","14:30:00","Lorna","Primary sump","9.77",84.3,13.7,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 10 ",20,500
"835",236,"19/02/2019","14:30:00","Lorna","Primary sump","9.77",84.3,13.7,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 332 ",20,16600
"836",237,"19/02/2019","14:36:00","Lorna","After Drumfilter","9.45",92.4,13.6,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 234 ",20,11700
