Sample,Date,Time,Counted by,Site,DO (mg/L),Saturation (%),Temperature (?C),N,NH3-N,NH4-N,pH,NO2,PO4,
1063,30/03/2019,18:00:00,Pertunia,After Drumfilter,,,,,,,,,,
1065,30/03/2019,19:00:00,Pertunia,After Drumfilter,,,,,,,,,,
1067,30/03/2019,20:30:00,Pertunia,After Drumfilter,,,,,,,,,,
1069,31/03/2019,08:00:00,Pertunia,After Drumfilter,,,,,,,,,,
1074,31/03/2019,13:00:00,Pertunia,After Drumfilter,,,,,,,,,,
1079,01/04/2019,10:00:00,Lorna,After Drumfilter,,,,,,,,,,
1081,01/04/2019,12:00:00,Lorna,After Drumfilter,,,,,,,,,,
1083,01/04/2019,14:00:00,Lorna,After Drumfilter,,,,,,,,,,
1085,01/04/2019,15:00:00,Lorna,After Drumfilter,,,,,,,,,,
1089,01/04/2019,18:00:00,Sarah,After Drumfilter,,,,,,,,,,
1091,01/04/2019,20:00:00,Sarah,After Drumfilter,,,,,,,,,,
1095,01/04/2019,22:00:00,Sarah,After Drumfilter,,,,,,,,,,
1097,02/04/2019,07:45:00,Lorna,After Drumfilter,,,,0.11,0.13,0.14,8.1,,,
1099,02/04/2019,10:00:00,Pertunia,After Drumfilter,,,,,,,,,,
1106,02/04/2019,16:00:00,Pertunia,After Drumfilter,,,,,,,,,,
1108,02/04/2019,17:30:00,Pertunia,After Drumfilter,7.69,90.8,13.5,0.15,0.18,0.19,8.72,,,
1110,02/04/2019,19:00:00,Pertunia,After Drumfilter,,,,,,,,,,
1112,02/04/2019,20:00:00,Pertunia,After Drumfilter,,,,,,,,,,
1114,02/04/2019,22:15:00,Pertunia,After Drumfilter,,,,,,,,,,
1116,03/04/2019,07:40:00,Lorna,After Drumfilter,7.3,84.7,12.5,0.21,0.25,0.27,7.51,,,
1118,03/04/2019,11:00:00,Lorna,After Drumfilter,,,,,,,,,,
1120,03/04/2019,14:00:00,Lorna,After Drumfilter,,,,,,,,,,
1122,03/04/2019,17:00:00,Pertunia,After Drumfilter,,,,0.03,0.04,0.04,8.06,,,
1125,04/04/2019,07:30:00,Lorna,After Drumfilter,,,,0.09,0.11,0.12,7.95,,,
1129,04/04/2019,21:45:00,Sarah,After Drumfilter,,,,,,,,,,
1131,05/04/2019,08:00:00,Pertunia,After Drumfilter,,,,,,,,,,
1135,05/04/2019,14:30:00,Sarah,After Drumfilter,,,,,,,,,,
1137,05/04/2019,08:30:00,Pertunia,After Drumfilter,,,,,,,,,,
1160,14/04/2019,07:30:00,Sarah,After Drumfilter,,,,,,,,,,
1172,17/04/2019,20:30:00,Sarah,After Drumfilter,9.39,95,15.4,,,,,,,
1174,18/04/2019,07:45:00,Sarah,After Drumfilter,9.96,97.1,14,,,,8.22,,,
1181,21/04/2020,13:30:00,Werner,After Drumfilter,,,,,,,,,,
1312,20/11/2019,12:08:00,Pertunia,After Drumfilter,,,,,,,,,,
1314,20/11/2019,15:05:00,Pertunia,After Drumfilter,8.63,87.4,15.7,,,,,,,
1316,21/11/2019,08:10:00,Kabelo,After Drumfilter,,,14.6,,,,,,,
1318,22/11/2019,08:00:00,Kabelo,After Drumfilter,9.16,90.5,15.5,,,,,,,
61,11/02/2019,22:26:00,Pertunia,Amaza,,,,,,,,,,
84,12/02/2019,22:36:00,Share',Amaza,,,,,,,,,,
175,17/02/2019,19:25:00,Pertunia,Amaza 5 settlement,,,,,,,,,,
183,17/02/2019,23:01:00,Pertunia,Amaza 5 settlement,,,,,,,,,,
184,17/02/2019,23:08:00,Pertunia,Amaza 5 settlement,,,,,,,,,,
185,17/02/2019,23:12:00,Pertunia,Amaza 5 settlement,,,,,,,,,,
190,18/02/2019,01:00:00,Pertunia,Amaza 5 settlement,,,,,,,,,,
72,12/02/2019,11:00:00,Pertunia,Bergsig,,,,,,,,,,
1038,29/03/2019,21:15:00,Sarah,Bergsig,,,,,,,,,,
1053,30/03/2019,13:00:00,Lorna,Bergsig,,,,0.31,0.38,0.4,7.86,,,
451,26/02/2019,16:30:00,Sarah,Bergsig effluent,8.23,86.8,17.8,,,,,,,
460,26/02/2019,18:00:00,Pertunia,Bergsig effluent,8.34,88,18,,,,,,,
470,26/02/2019,20:00:00,Pertunia,Bergsig effluent,7.96,82.6,17.4,,,,,,,
77,12/02/2019,18:35:00,Pertunia,Broodstock,8.25,,16.7,,,,,,,
114,13/02/2019,23:18:00,Pertunia,Broodstock,7.62,77.2,16.2,,,,,,,
172,17/02/2019,18:18:00,Pertunia,Broodstock,,,,,,,,,,
178,17/02/2019,22:31:00,Pertunia,Broodstock,,,,,,,,,,
188,18/02/2019,01:00:00,Pertunia,Broodstock,,,,,,,,,,
282,21/02/2019,11:00:00,Sarah,Broodstock,,,,,,,,,,
421,25/02/2019,23:00:00,Pertunia,Broodstock,6.63,71.7,18,,,,,,,
424,26/02/2019,01:00:00,Pertunia,Broodstock,7.17,74.5,17.2,,,,,,,
456,26/02/2019,17:00:00,Sarah,Broodstock,5.67,59.4,18.1,,,,,,,
466,26/02/2019,19:00:00,Pertunia,Broodstock,8.01,85.4,18.8,,,,,,,
497,27/02/2019,12:36:00,Lorna,Broodstock,7.48,77.7,17.5,,,,,,,
527,28/02/2019,13:10:00,Sarah,Broodstock,,,,,,,,,,
702,09/03/2019,10:00:00,Sarah,Broodstock,7.9,78.6,15.8,,,,,,,
749,12/03/2019,11:00:00,Chriss-Mart,Broodstock,8.2,82.7,13.5,0.17,0.21,0.22,7.94,,,
1092,01/04/2019,19:45:00,Sarah,Broodstock,,,,,,,,,,
279,21/02/2019,10:00:00,Sarah,Broodstock ,,,,,,,,,,
287,21/02/2019,13:15:00,Sarah,Broodstock before filter,,,,,,,,,,
290,21/02/2019,14:15:00,Sarah,Broodstock filter,,,,,,,,,,
113,13/02/2019,23:08:00,Pertunia,Hatchery,8.64,91,16.4,,,,,,,
455,26/02/2019,17:00:00,Sarah,Hatchery,6.09,63.9,17.8,,,,,,,
498,27/02/2019,12:36:00,Lorna,Hatchery,8.06,81.9,17.3,,,,,,,
522,28/02/2019,10:45:00,Sarah,Hatchery,,,,,,,,,,
528,28/02/2019,13:10:00,Sarah,Hatchery,,,,,,,,,,
704,09/03/2019,10:00:00,Sarah,Hatchery,9.15,87.6,16.1,,,,,,,
747,12/03/2019,11:00:00,Chriss-Mart,Hatchery,9.35,84.5,10.8,0.03,0.04,0.04,7.35,,,
1050,30/03/2019,12:35:00,Lorna,Hatchery,,,,,0.1,0.1,7.68,,,
173,17/02/2019,19:14:00,Pertunia,Inside Settlement,,,,,,,,,,
189,18/02/2019,01:00:00,Pertunia,Inside Settlement,,,,,,,,,,
469,26/02/2019,20:00:00,Pertunia,Kelp catchers,,,,,,,,,,
617,06/03/2019,18:00:00,Sarah,Kelp catchers,,,,,,,,,,
618,06/03/2019,19:00:00,Sarah,Kelp catchers,,,,,,,,,,
619,06/03/2019,20:00:00,Pertunia,Kelp catchers,,,,,,,,,,
621,06/03/2019,21:00:00,Pertunia,Kelp catchers,,,,,,,,,,
662,08/03/2019,03:00:00,Pertunia,Kelp catchers,,,,,,,,,,
438,26/02/2019,07:45:00,Sarah,kelpcatcher,,,,,,,,,,
280,21/02/2019,11:00:00,Sarah,Kelpcatchers,,,,,,,,,,
832,21/03/2019,18:00:00,Pertunia,Kelpcatchers,,,,,,,,,,
833,21/03/2019,20:00:00,Pertunia,Kelpcatchers,,,,,,,,,,
834,21/03/2019,21:00:00,Pertunia,Kelpcatchers,,,,,,,,,,
932,25/03/2019,18:40:00,Pertunia,Kelpcatchers,,,,,,,,,,
933,25/03/2019,08:30:00,Pertunia,Kelpcatchers,,,,,,,,,,
1093,01/04/2019,19:45:00,Sarah,Larvae,,,,,,,,,,
78,12/02/2019,18:40:00,Pertunia,Nursery,8.15,80.5,15.8,,,,,,,
115,13/02/2019,23:28:00,Pertunia,Nursery,8.68,86.8,15.8,,,,,,,
457,26/02/2019,17:00:00,Sarah,Nursery,5.58,57.4,17.7,,,,,,,
500,27/02/2019,12:36:00,Lorna,Nursery,7.81,79.4,17.7,,,,,,,
703,09/03/2019,10:00:00,Sarah,Nursery,8.68,83.5,14.4,,,,,,,
748,12/03/2019,11:00:00,Chriss-Mart,Nursery,8.85,77.3,12.2,0.02,0.02,0.03,7.35,,,
80,12/02/2019,18:50:00,Pertunia,Nursery office,7.26,73.6,15.6,,,,,,,
872,22/03/2019,18:30:00,Sarah,Nursery Row10,,,,,,,,,,
871,22/03/2019,18:30:00,Sarah,Nursery Row11,,,,,,,,,,
174,17/02/2019,19:14:00,Pertunia,Nursery SV,,,,,,,,,,
181,17/02/2019,22:50:00,Pertunia,Nursery SV,,,,,,,,,,
191,18/02/2019,01:00:00,Pertunia,Nursery SV,,,,,,,,,,
420,25/02/2019,23:00:00,Pertunia,Nursery SV,6.46,68.4,18,,,,,,,
428,26/02/2019,01:00:00,Pertunia,Nursery SV,6.97,72.6,17.5,,,,,,,
462,26/02/2019,19:00:00,Pertunia,Nursery SV,7.88,84.4,18.8,,,,,,,
422,25/02/2019,23:00:00,Pertunia,Nursery under roof,6.78,71.3,17.9,,,,,,,
427,26/02/2019,01:00:00,Pertunia,Nursery under roof,6.96,72.1,17,,,,,,,
463,26/02/2019,19:00:00,Pertunia,Nursery under roof,8.05,85.1,18.3,,,,,,,
1,02/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
2,02/01/2019,16:21:00,Lorna,Primary sump,,,,,,,,,,
3,03/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
4,04/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
5,07/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
6,08/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
7,09/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
8,10/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
9,11/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
10,11/01/2019,12:24:00,Lorna,Primary sump,,,,,,,,,,
11,14/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
12,15/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
13,16/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
14,17/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
15,18/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
16,21/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
17,22/01/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
18,23/01/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
19,24/01/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
20,24/01/2019,15:09:00,Pertunia,Primary sump,,,,,,,,,,
21,25/01/2019,08:16:00,Pertunia,Primary sump,,,,,,,,,,
22,25/01/2019,10:41:00,Pertunia,Primary sump,,,,,,,,,,
23,25/01/2019,12:23:00,Pertunia,Primary sump,,,,,,,,,,
24,26/01/2019,08:36:00,Pertunia,Primary sump,,,,,,,,,,
25,26/01/2019,13:47:00,Pertunia,Primary sump,,,,,,,,,,
26,26/01/2019,16:52:00,Pertunia,Primary sump,,,,,,,,,,
27,27/01/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
28,27/01/2019,14:00:00,Pertunia,Primary sump,,,,,,,,,,
29,27/01/2019,17:20:00,Pertunia,Primary sump,,,,,,,,,,
30,28/01/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
31,29/01/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
32,30/01/2019,08:00:00,Lorna,Primary sump,,,,,,,,,,
33,30/01/2019,15:44:00,Pertunia,Primary sump,,,,,,,,,,
34,31/01/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
35,31/01/2019,13:30:00,Pertunia,Primary sump,,,,,,,,,,
36,31/01/2019,17:00:00,Pertunia,Primary sump,,,,,,,,,,
37,01/02/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
38,01/02/2019,12:58:00,Pertunia,Primary sump,,,,,,,,,,
39,02/02/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
40,02/02/2019,16:28:00,Pertunia,Primary sump,,,,,,,,,,
41,03/02/2019,08:23:00,Pertunia,Primary sump,,,,,,,,,,
42,03/02/2019,16:00:00,Pertunia,Primary sump,,,,,,,,,,
43,04/02/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
44,04/02/2019,16:00:00,Pertunia,Primary sump,,,,,,,,,,
45,05/02/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
46,05/02/2019,16:26:00,Pertunia,Primary sump,,,,,,,,,,
47,06/02/2019,08:20:00,Pertunia,Primary sump,,,,,,,,,,
48,06/02/2019,14:00:00,Pertunia,Primary sump,,,,,,,,,,
49,07/02/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
50,08/02/2019,08:00:00,Pertunia,Primary sump,,,,,,,,,,
51,11/02/2019,09:00:00,Pertunia,Primary sump,,,,,,,,,,
52,11/02/2019,14:00:00,Pertunia,Primary sump,,,,,,,,,,
53,11/02/2019,15:00:00,Pertunia,Primary sump,,,,,,,,,,
54,11/02/2019,16:17:00,Pertunia,Primary sump,,,,,,,,,,
55,11/02/2019,17:00:00,Pertunia,Primary sump,,,,,,,,,,
56,11/02/2019,18:00:00,Pertunia,Primary sump,,,,,,,,,,
57,11/02/2019,20:00:00,Pertunia,Primary sump,9.12,,13.3,,,,,,,
60,11/02/2019,22:26:00,Pertunia,Primary sump,8.18,83.2,16.3,,,,,,,
63,12/02/2019,08:00:00,Pertunia,Primary sump,9.84,,11.8,,,,,,,
70,12/02/2019,11:00:00,Pertunia,Primary sump,,,,,,,,,,
81,12/02/2019,19:45:00,Pertunia,Primary sump,,,,,,,,,,
83,12/02/2019,22:26:00,Share',Primary sump,8.18,83.2,16.3,,,,,,,
86,13/02/2019,00:04:00,Share',Primary sump,8.2,83,15.8,,,,,,,
88,13/02/2019,02:51:00,Share',Primary sump,7.98,83,14.8,,,,,,,
90,13/02/2019,06:45:00,Werner,Primary sump,,,,,,,,,,
92,13/02/2019,09:19:00,Pertunia,Primary sump,,,,,,,,,,
95,13/02/2019,10:48:00,Pertunia,Primary sump,,,,,,,,,,
97,13/02/2019,12:10:00,Pertunia,Primary sump,,,,,,,,,,
98,13/02/2019,13:00:00,Werner,Primary sump,9.82,90.9,12.2,,,,,,,
99,13/02/2019,13:59:00,Pertunia,Primary sump,9.84,92.5,13.4,,,,,,,
100,13/02/2019,15:00:00,Pertunia,Primary sump,9.69,93.5,13.9,,,,,,,
101,13/02/2019,15:30:00,Pertunia,Primary sump,,,,,,,,,,
102,13/02/2019,15:35:00,Werner,Primary sump,,,,,,,,,,
103,13/02/2019,15:50:00,Pertunia,Primary sump,,,,,,,,,,
104,13/02/2019,16:07:00,Lorna,Primary sump,9.35,92.8,15.7,,,,,,,
106,13/02/2019,17:27:00,Lorna,Primary sump,9.34,91.4,15.6,,,,,,,
108,13/02/2019,19:03:00,Lorna,Primary sump,,,,,,,,,,
109,13/02/2019,19:54:00,Lorna,Primary sump,,,,,,,,,,
110,13/02/2019,21:00:00,Lorna,Primary sump,9.33,89,13.5,,,,,,,
111,13/02/2019,22:50:00,Pertunia,Primary sump,,,,,,,,,,
117,14/02/2019,00:00:00,Pertunia,Primary sump,9.53,89.5,12.8,,,,,,,
119,14/02/2019,02:56:00,Pertunia,Primary sump,9.92,90.7,11.7,,,,,,,
122,14/02/2019,04:32:00,Pertunia,Primary sump,10.53,94.1,11.3,,,,,,,
123,14/02/2019,06:07:00,Pertunia,Primary sump,9.41,85.3,11.1,,,,,,,
125,14/02/2019,07:39:00,Lorna,Primary sump,9.56,86.6,11.5,,,,,,,
127,14/02/2019,09:00:00,Lorna,Primary sump,9.29,85.2,11.7,,,,,,,
128,14/02/2019,09:05:00,Lorna,Primary sump,9.12,84.5,12,,,,,,,
129,14/02/2019,10:00:00,Lorna,Primary sump,9.07,83.7,12.3,,,,,,,
131,14/02/2019,11:00:00,Lorna,Primary sump,9.08,81.7,11.8,,,,,,,
133,14/02/2019,12:00:00,Lorna,Primary sump,8.08,81,12.2,,,,,,,
135,14/02/2019,13:00:00,Lorna,Primary sump,8.89,84.9,130,,,,,,,
137,14/02/2019,14:18:00,Lorna,Primary sump,8.95,82.3,12.3,,,,,,,
139,14/02/2019,15:26:00,Lorna,Primary sump,8.73,82.3,12.3,,,,,,,
142,14/02/2019,18:20:00,Pertunia,Primary sump,8.61,81.3,12.6,,,,,,,
144,14/02/2019,19:55:00,Pertunia,Primary sump,8.57,80.7,12.5,,,,,,,
146,14/02/2019,21:00:00,Pertunia,Primary sump,8.37,77.7,12,,,,,,,
148,15/02/2019,00:05:00,Pertunia,Primary sump,7.96,73.7,11.4,,,,,,,
150,15/02/2019,02:14:00,Pertunia,Primary sump,8.42,77.8,11.8,,,,,,,
152,15/02/2019,04:36:00,Pertunia,Primary sump,8.53,77.8,10.8,,,,,,,
154,15/02/2019,07:43:00,Ruan,Primary sump,8.37,77.1,10.8,,,,,,,
155,15/02/2019,09:54:00,Ruan,Primary sump,8.85,79.2,10.7,,,,,,,
157,15/02/2019,11:00:00,Ruan,Primary sump,8.15,72.5,10.7,,,,,,,
160,15/02/2019,12:12:00,Ruan,Primary sump,8.94,82,11.7,,,,,,,
162,15/02/2019,13:00:00,Ruan,Primary sump,8.65,86.5,11.7,,,,,,,
164,16/02/2019,08:20:00,Pertunia,Primary sump,9.16,84,11.7,,,,,,,
166,17/02/2019,10:30:00,Sarah,Primary sump,10.2,100.5,14.4,,,,,,,
168,17/02/2019,12:44:00,Sarah,Primary sump,9.26,87.8,13.4,,,,,,,
177,17/02/2019,20:40:00,Pertunia,Primary sump,,,,0.11,0.13,0.14,7.47,,,
180,17/02/2019,22:45:00,Pertunia,Primary sump,,,,,,,,,,
186,18/02/2019,01:00:00,Pertunia,Primary sump,7.68,76.1,14.3,,,,,,,
192,18/02/2019,02:00:00,Pertunia,Primary sump,9.16,87.9,13.6,,,,,,,
194,18/02/2019,03:00:00,Pertunia,Primary sump,,,,,,,,,,
196,18/02/2019,04:00:00,Pertunia,Primary sump,9.5,89.5,13,0.42,0.51,0.54,7.7,,,
198,18/02/2019,05:00:00,Pertunia,Primary sump,9.76,90.4,12.1,,,,,,,
200,18/02/2019,07:45:00,Sarah,Primary sump,9.54,90.2,12.1,,,,,,,
202,18/02/2019,09:50:00,Sarah,Primary sump,9.31,,13.1,0,0,0,7.73,,,
204,18/02/2019,12:00:00,Sarah,Primary sump,9.53,94.7,12.4,,,,,,,
206,18/02/2019,14:00:00,Sarah,Primary sump,9.68,93,13.7,,,,,,,
208,18/02/2019,15:30:00,Sarah,Primary sump,9.41,94.4,14.2,,,,,,,
210,18/02/2019,16:15:00,Sarah,Primary sump,8.97,89.5,14.6,,,,,,,
212,18/02/2019,17:50:00,Pertunia,Primary sump,9.68,95.2,14,,,,,,,
214,18/02/2019,19:00:00,Pertunia,Primary sump,9.81,94.7,14,,,,,,,
216,18/02/2019,21:00:00,Pertunia,Primary sump,9.6,93.7,13.9,0.29,0.35,0.37,7.9,,,
221,19/02/2019,00:05:00,Sarah,Primary sump,8.59,83.3,13.9,,,,,,,
223,19/02/2019,02:00:00,Sarah,Primary sump,8.4,79.2,13.3,,,,,,,
226,19/02/2019,04:00:00,Sarah,Primary sump,8.31,79.4,13.3,,,,,,,
228,19/02/2019,07:44:00,Lorna,Primary sump,8.7,81,12.4,,,,,,,
230,19/02/2019,09:45:00,Lorna,Primary sump,9.86,91.2,12.6,,,,,,,
232,19/02/2019,11:12:00,Lorna,Primary sump,9.18,86.3,12.6,,,,,,,
234,19/02/2019,12:03:00,Lorna,Primary sump,9.04,84.9,12.8,,,,,,,
236,19/02/2019,14:30:00,Lorna,Primary sump,9.77,84.3,13.7,,,,,,,
238,19/02/2019,15:30:00,Lorna,Primary sump,8.91,88.2,14.1,,,,,,,
240,19/02/2019,17:30:00,Sarah,Primary sump,9.08,88.7,14.6,,,,,,,
242,19/02/2019,19:00:00,Sarah,Primary sump,8.95,88.5,14.5,,,,,,,
244,19/02/2019,21:00:00,Sarah,Primary sump,9.02,89.4,14.9,,,,,,,
246,19/02/2019,23:00:00,Sarah,Primary sump,8.85,84,13.4,,,,,,,
248,20/02/2019,01:00:00,Sarah,Primary sump,8.53,80.8,12.1,,,,,,,
250,20/02/2019,03:00:00,Sarah,Primary sump,8.4,78.9,12.8,,,,,,,
252,20/02/2019,05:00:00,Sarah,Primary sump,8.54,82,13.1,,,,,,,
254,20/02/2019,07:48:00,Sarah,Primary sump,9.88,91.7,11.8,,,,,,,
256,20/02/2019,09:05:00,Lorna,Primary sump,9.72,93,12.4,,0.06,,8.36,,,
258,20/02/2019,09:08:00,Lorna,Primary sump,,,,,,,,,,
259,20/02/2019,12:22:00,Lorna,Primary sump,9.81,93.3,14.9,,,,,,,
260,20/02/2019,14:06:00,Lorna,Primary sump,9.92,9.91,14.6,,,,,,,
261,20/02/2019,15:23:00,Pertunia,Primary sump,9.98,97.6,15.1,,,,,,,
263,20/02/2019,18:00:00,Pertunia,Primary sump,9.41,91.3,14,,,,,,,
266,20/02/2019,19:00:00,Pertunia,Primary sump,,,,,,,,,,
268,20/02/2019,21:00:00,Pertunia,Primary sump,9.88,94.6,13.5,,,,,,,
270,20/02/2019,23:00:00,Pertunia,Primary sump,9.98,92.4,12.9,,,,,,,
272,21/02/2019,01:00:00,Pertunia,Primary sump,9.49,91.4,13,,,,,,,
274,21/02/2019,03:00:00,Pertunia,Primary sump,9.64,91.4,12.5,,,,,,,
276,21/02/2019,06:00:00,Pertunia,Primary sump,9.77,92.5,12.8,,,,,,,
278,21/02/2019,09:00:00,Sarah,Primary sump,9.23,86.1,13.6,,,,,,,
284,21/02/2019,12:30:00,Sarah,Primary sump,9.13,87.8,14.1,,,,,,,
285,21/02/2019,13:15:00,Sarah,Primary sump,8.97,88.4,14.5,,,,,,,
288,21/02/2019,14:10:00,Sarah,Primary sump,9.03,86.5,14.3,,,,,,,
291,21/02/2019,15:00:00,Sarah,Primary sump,8.79,83.9,14.9,,,,,,,
293,21/02/2019,16:00:00,Sarah,Primary sump,8.88,86.6,14.9,,,,,,,
295,21/02/2019,18:00:00,Pertunia,Primary sump,9.01,89.7,14.7,,,,,,,
297,21/02/2019,20:00:00,Pertunia,Primary sump,9.1,90.8,15.2,,,,,,,
299,21/02/2019,22:00:00,Pertunia,Primary sump,8.87,86.7,14,,,,7.88,,,
301,22/02/2019,00:00:00,Pertunia,Primary sump,9.89,94.1,13.3,,,,8.03,,,
303,22/02/2019,02:53:00,Pertunia,Primary sump,8.96,84,12.8,,,,,,,
305,22/02/2019,06:00:00,Pertunia,Primary sump,8.97,82.2,11.7,,,,,,,
307,22/02/2019,07:45:00,Sarah,Primary sump,9.5,86.8,11.8,,,,,,,
309,22/02/2019,09:00:00,Sarah,Primary sump,8.94,83.7,12.6,,,,,,,
342,23/02/2019,08:40:00,Lorna,Primary sump,9.04,88.4,13,,,,,,,
343,23/02/2019,09:15:00,Lorna,Primary sump,9.22,85.5,13,,,,,,,
345,23/02/2019,10:15:00,Lorna,Primary sump,8.74,83.9,13.1,,,,,,,
347,23/02/2019,11:00:00,Lorna,Primary sump,9.56,88.1,13.1,,,,,,,
349,23/02/2019,12:00:00,Lorna,Primary sump,8.99,88.5,13.4,,,,,,,
351,23/02/2019,,Lorna,Primary sump,9.11,83.5,13.7,,,,,,,
353,23/02/2019,13:05:00,Lorna,Primary sump,8.88,86.6,14.4,,,,,,,
355,23/02/2019,14:30:00,Lorna,Primary sump,,,,,,,,,,
357,23/02/2019,15:15:00,Lorna,Primary sump,8.94,85.2,13.8,,,,,,,
359,23/02/2019,16:22:00,Lorna,Primary sump,8.79,86.1,15.4,,,,,,,
361,23/02/2019,18:00:00,Pertunia,Primary sump,8.55,86,13.7,,,,,,,
362,23/02/2019,19:00:00,Pertunia,Primary sump,9.23,86.5,12.5,,,,,,,
364,23/02/2019,20:00:00,Pertunia,Primary sump,9.47,88.3,12.3,,,,,,,
366,23/02/2019,22:00:00,Pertunia,Primary sump,8.65,82.6,12.5,,,,,,,
368,24/02/2019,00:00:00,Pertunia,Primary sump,9.37,90.3,13.4,,,,,,,
370,24/02/2019,02:00:00,Pertunia,Primary sump,9.34,90,13.7,,,,,,,
372,24/02/2019,04:00:00,Pertunia,Primary sump,9.5,90.4,13,,,,,,,
374,24/02/2019,06:00:00,Pertunia,Primary sump,9.41,90.2,13.3,,,,,,,
376,24/02/2019,08:06:00,Lorna,Primary sump,8.87,77.3,12.9,,,,,,,
378,24/02/2019,09:05:00,Lorna,Primary sump,9.08,87.4,12.9,,,,,,,
380,24/02/2019,10:37:00,Lorna,Primary sump,9.06,89.2,13.2,,,,,,,
382,24/02/2019,11:47:00,Lorna,Primary sump,8.88,85.9,13.6,,,,,,,
384,24/02/2019,12:53:00,Lorna,Primary sump,8.85,87.1,13.6,,,,,,,
386,24/02/2019,14:37:00,Lorna,Primary sump,8.78,86.5,13.6,,,,,,,
388,24/02/2019,15:36:00,Lorna,Primary sump,8.68,87.2,14,,,,,,,
389,24/02/2019,17:00:00,Pertunia,Primary sump,9.26,89.2,13.7,,,,,,,
391,24/02/2019,19:00:00,Pertunia,Primary sump,8.95,86.8,14,,,,,,,
393,24/02/2019,21:00:00,Pertunia,Primary sump,8.74,87.1,15.8,,,,,,,
395,24/02/2019,23:00:00,Pertunia,Primary sump,9.87,90.4,15.9,,,,,,,
397,25/02/2019,01:00:00,Pertunia,Primary sump,8.81,86.6,14.5,,,,,,,
401,25/02/2019,05:00:00,Pertunia,Primary sump,8.75,84.2,13.7,,,,,,,
403,25/02/2019,06:00:00,Pertunia,Primary sump,,,,,,,,,,
404,25/02/2019,08:00:00,Sarah,Primary sump,,,,,,,,,,
406,25/02/2019,09:00:00,Sarah,Primary sump,8.59,84,14.9,,,,,,,
408,25/02/2019,10:10:00,Sarah,Primary sump,,,,,,,,,,
410,25/02/2019,11:30:00,Sarah,Primary sump,,,,,,,,,,
413,25/02/2019,13:00:00,Sarah,Primary sump,,,,,,,,,,
414,25/02/2019,14:30:00,Sarah,Primary sump,,,,,,,,,,
416,25/02/2019,18:00:00,Pertunia,Primary sump,,,,,,,,,,
417,25/02/2019,20:00:00,Pertunia,Primary sump,,,,,,,,,,
418,25/02/2019,23:00:00,Pertunia,Primary sump,7.57,76.2,15.7,,,,,,,
426,26/02/2019,01:00:00,Pertunia,Primary sump,7.57,73.5,16.6,,,,,,,
430,26/02/2019,03:00:00,Pertunia,Primary sump,7.23,71.7,15.1,,,,,,,
432,26/02/2019,05:00:00,Pertunia,Primary sump,,,,,,,,,,
442,26/02/2019,10:45:00,Sarah,Primary sump,,,,,,,,,,
445,26/02/2019,13:30:00,Sarah,Primary sump,7.09,71.3,16.8,,,,,,,
447,26/02/2019,14:10:00,Sarah,Primary sump,,,,,,,,,,
449,26/02/2019,16:20:00,Sarah,Primary sump,,,,,,,,,,
458,26/02/2019,18:00:00,Pertunia,Primary sump,8.87,89,15.8,,,,,,,
473,26/02/2019,20:00:00,Pertunia,Primary sump,,,,,,,,,,
475,26/02/2019,22:30:00,Pertunia,Primary sump,,,,,,,,,,
477,26/02/2019,12:20:00,Pertunia,Primary sump,8.92,90.5,15.9,,,,,,,
479,27/02/2019,02:00:00,Pertunia,Primary sump,8.39,84.6,15.9,,,,,,,
487,27/02/2019,10:00:00,Lorna,Primary sump,9.4,95.3,16.5,,,,,,,
501,27/02/2019,18:00:00,Pertunia,Primary sump,,,,,,,,,,
523,28/02/2019,11:45:00,Sarah,Primary sump,9.55,96.5,16,,,,,,,
525,28/02/2019,13:10:00,Sarah,Primary sump,9.43,96.1,16,,,,,,,
