"","Sample","Date","Time","Counted.by","Site"
"110",13,"16/01/2019","08:00","Lorna","Primary sump"
"111",13,"16/01/2019","08:00","Lorna","Primary sump"
"112",13,"16/01/2019","08:00","Lorna","Primary sump"
"113",13,"16/01/2019","08:00","Lorna","Primary sump"
"114",13,"16/01/2019","08:00","Lorna","Primary sump"
"115",13,"16/01/2019","08:00","Lorna","Primary sump"
"116",13,"16/01/2019","08:00","Lorna","Primary sump"
"117",14,"17/01/2019","08:00","Lorna","Primary sump"
"118",14,"17/01/2019","08:00","Lorna","Primary sump"
"119",14,"17/01/2019","08:00","Lorna","Primary sump"
"120",14,"17/01/2019","08:00","Lorna","Primary sump"
"121",14,"17/01/2019","08:00","Lorna","Primary sump"
"122",14,"17/01/2019","08:00","Lorna","Primary sump"
"123",14,"17/01/2019","08:00","Lorna","Primary sump"
"124",14,"17/01/2019","08:00","Lorna","Primary sump"
"125",14,"17/01/2019","08:00","Lorna","Primary sump"
"126",15,"18/01/2019","08:00","Lorna","Primary sump"
"127",15,"18/01/2019","08:00","Lorna","Primary sump"
"128",15,"18/01/2019","08:00","Lorna","Primary sump"
"129",15,"18/01/2019","08:00","Lorna","Primary sump"
"130",15,"18/01/2019","08:00","Lorna","Primary sump"
"131",15,"18/01/2019","08:00","Lorna","Primary sump"
"132",15,"18/01/2019","08:00","Lorna","Primary sump"
"133",15,"18/01/2019","08:00","Lorna","Primary sump"
"134",16,"21/01/2019","08:00","Lorna","Primary sump"
"135",16,"21/01/2019","08:00","Lorna","Primary sump"
"136",16,"21/01/2019","08:00","Lorna","Primary sump"
"137",16,"21/01/2019","08:00","Lorna","Primary sump"
"138",16,"21/01/2019","08:00","Lorna","Primary sump"
"139",16,"21/01/2019","08:00","Lorna","Primary sump"
"140",16,"21/01/2019","08:00","Lorna","Primary sump"
"141",16,"21/01/2019","08:00","Lorna","Primary sump"
"142",17,"22/01/2019","08:00","Pertunia","Primary sump"
"143",17,"22/01/2019","08:00","Pertunia","Primary sump"
"144",17,"22/01/2019","08:00","Pertunia","Primary sump"
"145",17,"22/01/2019","08:00","Pertunia","Primary sump"
"146",17,"22/01/2019","08:00","Pertunia","Primary sump"
"147",17,"22/01/2019","08:00","Pertunia","Primary sump"
"148",17,"22/01/2019","08:00","Pertunia","Primary sump"
"149",17,"22/01/2019","08:00","Pertunia","Primary sump"
"150",18,"23/01/2019","08:00","Pertunia","Primary sump"
"151",18,"23/01/2019","08:00","Pertunia","Primary sump"
"152",18,"23/01/2019","08:00","Pertunia","Primary sump"
"153",18,"23/01/2019","08:00","Pertunia","Primary sump"
"154",18,"23/01/2019","08:00","Pertunia","Primary sump"
"155",18,"23/01/2019","08:00","Pertunia","Primary sump"
"156",18,"23/01/2019","08:00","Pertunia","Primary sump"
"157",18,"23/01/2019","08:00","Pertunia","Primary sump"
"158",18,"23/01/2019","08:00","Pertunia","Primary sump"
"159",18,"23/01/2019","08:00","Pertunia","Primary sump"
