"","RowCode","Date","Time","Counted.by.","Site","Volume.Filtered..ml.","Frames.counted","Volume.counted","Volume.counted_all","Species","Cells.Counted","Cells.L","SRC_method","Correct.Original","Div.Src.by.this","Classification","dateTime","months","month","year","Season","YEarMonth","SeasonOrder","totalCells","RedTide","FWC_mod"
"22",22,2017-01-05,"08:00","Lorna","Primary sump",5000,19,0.019,0.019,"Protoperidinium diabolum","4",42,1052.631579,1053,"25","Dinoflagellate",2017-01-05 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1842,"Very Low (A)","Very Low"
"23",23,2017-01-05,"08:00","Lorna","Primary sump",5000,19,0.019,0.019,"Prorocentrum sigmoides","1",11,263.1578947,263,"25","Dinoflagellate",2017-01-05 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1842,"Very Low (A)","Very Low"
"24",24,2017-01-06,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Ceratium furca","4",40,1000,1000,"25","Dinoflagellate",2017-01-06 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1937.5,"Very Low (A)","Very Low"
"25",25,2017-01-06,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Gonyaulax polygramma","24",240,6000,6000,"25","Dinoflagellate",2017-01-06 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1937.5,"Very Low (A)","Very Low"
"26",26,2017-01-06,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Protoperidinium conicum","1",10,250,250,"25","Dinoflagellate",2017-01-06 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1937.5,"Very Low (A)","Very Low"
"27",27,2017-01-06,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Protoperidinium diabolum","2",20,500,500,"25","Dinoflagellate",2017-01-06 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1937.5,"Very Low (A)","Very Low"
"28",28,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Chaetoceros sp.","2",19,476.1904762,476,"25","Diatom",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"29",29,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium furca","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"30",30,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium tripos","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"31",31,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium conicum","7",67,1666.666667,1667,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"32",32,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium diabolum","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"33",33,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Zigabikodinium denticulatum","3",29,714.2857143,714,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"34",34,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Prorocentrum sigmoides","1",10,238.0952381,238,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"35",35,2017-01-10,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Chaetoceros sp.","3",25,625,625,"25","Diatom",2017-01-10 08:00:00,"January",1,"2017","Summer",Jan 2017,1,4226.28571428571,"Very Low (A)","Very Low"
"36",36,2017-01-10,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Ceratium furca","3",25,625,625,"25","Dinoflagellate",2017-01-10 08:00:00,"January",1,"2017","Summer",Jan 2017,1,4226.28571428571,"Very Low (A)","Very Low"
"37",37,2017-01-10,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Ceratium tripos","2",17,416.6666667,417,"25","Dinoflagellate",2017-01-10 08:00:00,"January",1,"2017","Summer",Jan 2017,1,4226.28571428571,"Very Low (A)","Very Low"
"38",38,2017-01-10,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Gonyaulax polygramma","123",1025,25625,25625,"25","Dinoflagellate",2017-01-10 08:00:00,"January",1,"2017","Summer",Jan 2017,1,4226.28571428571,"Very Low (A)","Very Low"
"39",39,2017-01-10,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Protoperidinium conicum","5",42,1041.666667,1042,"25","Dinoflagellate",2017-01-10 08:00:00,"January",1,"2017","Summer",Jan 2017,1,4226.28571428571,"Very Low (A)","Very Low"
"40",40,2017-01-10,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Protoperidinium diabolum","2",17,416.6666667,417,"25","Dinoflagellate",2017-01-10 08:00:00,"January",1,"2017","Summer",Jan 2017,1,4226.28571428571,"Very Low (A)","Very Low"
"41",41,2017-01-10,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Zigabikodinium denticulatum","4",33,833.3333333,833,"25","Dinoflagellate",2017-01-10 08:00:00,"January",1,"2017","Summer",Jan 2017,1,4226.28571428571,"Very Low (A)","Very Low"
"42",42,2017-01-11,"08:00","Lorna","Primary sump",5000,27,0.027,0.027,"Chaetoceros sp.","3",22,555.5555556,556,"25","Diatom",2017-01-11 08:00:00,"January",1,"2017","Summer",Jan 2017,1,2037,"Very Low (A)","Very Low"
"43",43,2017-01-11,"08:00","Lorna","Primary sump",5000,27,0.027,0.027,"Ceratium furca","5",37,925.9259259,926,"25","Dinoflagellate",2017-01-11 08:00:00,"January",1,"2017","Summer",Jan 2017,1,2037,"Very Low (A)","Very Low"
"44",44,2017-01-11,"08:00","Lorna","Primary sump",5000,27,0.027,0.027,"Gonyaulax polygramma","44",326,8148.148148,8148,"25","Dinoflagellate",2017-01-11 08:00:00,"January",1,"2017","Summer",Jan 2017,1,2037,"Very Low (A)","Very Low"
"45",45,2017-01-11,"08:00","Lorna","Primary sump",5000,27,0.027,0.027,"Protoperidinium conicum","5",37,925.9259259,926,"25","Dinoflagellate",2017-01-11 08:00:00,"January",1,"2017","Summer",Jan 2017,1,2037,"Very Low (A)","Very Low"
"46",46,2017-01-11,"08:00","Lorna","Primary sump",5000,27,0.027,0.027,"Protoperidinium diabolum","7",52,1296.296296,1296,"25","Dinoflagellate",2017-01-11 08:00:00,"January",1,"2017","Summer",Jan 2017,1,2037,"Very Low (A)","Very Low"
"47",47,2017-01-11,"08:00","Lorna","Primary sump",5000,27,0.027,0.027,"Protoperidinium oceanicum","2",15,370.3703704,370,"25","Dinoflagellate",2017-01-11 08:00:00,"January",1,"2017","Summer",Jan 2017,1,2037,"Very Low (A)","Very Low"
"48",48,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Pseudo-nitzschia australis","7",67,1666.666667,1667,"25","Diatom",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"49",49,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Alexandrium sp.","7",67,1666.666667,1667,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"50",50,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium furca","21",200,5000,5000,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"51",51,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium tripos","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"52",52,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Gonyaulax spinifera","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"53",53,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium conicum","14",133,3333.333333,3333,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"54",54,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium diabolum","7",67,1666.666667,1667,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"55",55,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Scrippsiella trochoidea","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"56",56,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Zigabikodinium denticulatum","10",95,2380.952381,2381,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"57",57,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Prorocentrum sigmoides","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"58",58,2017-01-12,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium oceanicum","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-12 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1861.36363636364,"Very Low (A)","Very Low"
"59",59,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Pseudo-nitzschia australis","7",67,1666.666667,1667,"25","Diatom",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"60",60,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium furca","17",162,4047.619048,4048,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"61",61,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium tripos","7",67,1666.666667,1667,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"62",62,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Gonyaulax polygramma","304",2895,72380.95238,72381,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"63",63,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Gonyaulax spinifera","12",114,2857.142857,2857,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"64",64,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Karenia cristata","12",114,2857.142857,2857,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"65",65,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium conicum","14",133,3333.333333,3333,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"66",66,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Scrippsiella trochoidea","14",133,3333.333333,3333,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"67",67,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Zigabikodinium denticulatum","13",124,3095.238095,3095,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"68",68,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Prorocentrum sigmoides","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
"69",69,2017-01-13,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium oceanicum","7",67,1666.666667,1667,"25","Dinoflagellate",2017-01-13 08:00:00,"January",1,"2017","Summer",Jan 2017,1,8896.09090909091,"Very Low (B)","Very Low"
